time,rec-q-can.CVL.V,rec-q-can.CCL.A,rec-q-can.DVL.V,rec-q-can.DCL.A,rec-q-can.SOC.%,rec-q-can.SOH.%,rec-q-can.SOC_HR.%,rec-q-can.Battery Voltage.V,rec-q-can.Battery Current.A,rec-q-can.Battery Temp.C,rec-q-can.Min Cell Voltage.V,rec-q-can.Max Cell Voltage.V,rec-q-can.Min Temperature.C,rec-q-can.Max Temperature.C,rec-q-can.Rated Capacity.AH,rec-q-can.Remaining Capacity.AH,rec-q-can.Warning Bits.binary,rec-q-can.Alarm Bits.binary
2022-06-11 05:20:12.345475,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.4,27.5,3.375,3.398,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:13.348870,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.4,27.5,3.375,3.398,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:14.352104,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.4,27.5,3.371,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:15.355432,28.1,279.9,23.1,279.9,91,100,0.0,27.1,64.4,27.5,3.371,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:16.358535,28.1,279.9,23.1,279.9,91,100,0.0,27.1,64.1,27.5,3.371,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:17.361030,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.6,27.5,3.371,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:18.364099,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.6,27.5,3.378,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:19.367293,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.8,27.5,3.378,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:20.370579,28.1,279.9,23.1,279.9,91,100,0.0,27.1,64.9,27.5,3.378,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:21.373793,28.1,279.9,23.1,279.9,91,100,0.0,27.1,64.9,27.5,3.378,3.395,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:22.376008,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.5,27.5,3.378,3.395,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:23.378493,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.3,27.5,3.378,3.395,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:24.380937,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.2,27.5,3.377,3.396,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:20:25.383546,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.2,27.5,3.377,3.396,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
