time,rd6018.Voltage Setting.V,rd6018.Current Setting.A,rd6018.Voltage Output.V,rd6018.Current Output.A,rd6018.Power Output.W,rd6018.External Temperature.C,ut61e.Pack_Voltage.V,rec-q-binary.internal_relay.binary,rec-q-binary.charge_enable.binary,rec-q-binary.system_plus.binary,rec-q-binary.contactor.binary,rec-q-can.CVL.V,rec-q-can.CCL.A,rec-q-can.DVL.V,rec-q-can.DCL.A,rec-q-can.SOC.%,rec-q-can.SOH.%,rec-q-can.SOC_HR.%,rec-q-can.Battery Voltage.V,rec-q-can.Battery Current.A,rec-q-can.Battery Temp.C,rec-q-can.Min Cell Voltage.V,rec-q-can.Max Cell Voltage.V,rec-q-can.Min Temperature.C,rec-q-can.Max Temperature.C,rec-q-can.Rated Capacity.AH,rec-q-can.Remaining Capacity.AH,rec-q-can.Warning Bits.binary,rec-q-can.Alarm Bits.binary
2022-03-06 15:52:27.622498,29.2,18.0,26.7,17.98,480.06,16,26.45,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.47,6536.0,16.0,3.305,3.312,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:28.626109,29.2,18.0,26.7,17.98,480.06,16,26.45,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.47,6536.0,16.0,3.305,3.312,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:29.629681,29.2,18.0,26.7,17.98,480.06,16,26.45,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.47,6536.0,16.0,3.305,3.312,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:30.633460,29.2,18.0,26.71,17.99,480.51,16,26.45,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.47,6536.0,16.0,3.305,3.315,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:31.636265,29.2,18.0,26.71,17.99,480.51,16,26.45,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.47,6536.0,16.0,3.305,3.315,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:32.639697,29.2,18.0,26.71,17.98,480.24,16,26.45,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.47,6536.0,16.0,3.305,3.315,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:33.643402,29.2,18.0,26.71,17.99,480.51,16,26.45,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.47,6536.0,16.0,3.305,3.315,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:34.647149,29.2,18.0,26.71,17.98,480.24,16,26.45,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.47,6536.0,16.0,3.305,3.315,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:35.650128,29.2,18.0,26.71,17.98,480.24,16,26.45,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.47,6536.0,16.0,3.305,3.315,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:36.653133,29.2,18.0,26.71,17.99,480.51,16,26.46,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.47,6536.0,16.0,3.305,3.315,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:37.655889,29.2,18.0,26.71,17.99,480.51,16,26.46,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.48,6536.0,16.0,3.305,3.315,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:38.659327,29.2,18.0,26.71,17.98,480.24,16,26.46,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.48,6536.0,16.0,3.305,3.315,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:39.662701,29.2,18.0,26.71,17.99,480.51,16,26.46,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.48,6536.0,16.0,3.305,3.315,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:40.666263,29.2,18.0,26.72,17.99,480.69,16,26.46,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.48,6536.0,16.0,3.305,3.315,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:41.669509,29.2,18.0,26.72,17.98,480.42,16,26.46,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.48,6536.0,16.0,3.308,3.315,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:42.672343,29.2,18.0,26.72,17.98,480.42,16,26.46,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.49,6536.0,16.0,3.308,3.315,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:43.676030,29.2,18.0,26.72,17.98,480.42,16,26.47,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.49,6536.0,16.0,3.309,3.315,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
2022-03-06 15:52:44.679615,29.2,18.0,26.72,17.98,480.42,16,26.47,1,1,0,1,28.7,70.0,23.1,100.0,0,100,0.99,26.49,6536.0,16.0,3.309,3.315,16,16,560,6,00000000 00000000 10000000 00001010,10101000 10100000 10000010 00000000
