time,ut61e.Cell_Voltage.V
2022-03-09 01:19:34.018964,3.408
2022-03-09 01:19:35.021749,3.408
2022-03-09 01:19:36.024677,3.408
2022-03-09 01:19:37.027400,3.408
2022-03-09 01:19:38.030144,3.408
2022-03-09 01:19:39.032521,3.408
2022-03-09 01:19:40.034709,3.4090000000000003
2022-03-09 01:19:41.037100,3.4090000000000003
2022-03-09 01:19:42.039810,3.408
2022-03-09 01:19:43.042529,3.408
2022-03-09 01:19:44.045158,3.408
2022-03-09 01:19:45.047676,3.408
2022-03-09 01:19:46.049893,3.408
2022-03-09 01:19:47.052566,3.408
2022-03-09 01:19:48.055319,3.408
2022-03-09 01:19:49.058068,3.408
2022-03-09 01:19:50.060747,3.408
2022-03-09 01:19:51.063014,3.4090000000000003
2022-03-09 01:19:52.065476,3.408
2022-03-09 01:19:53.067584,3.408
2022-03-09 01:19:54.069849,3.408
2022-03-09 01:19:55.072482,3.408
2022-03-09 01:19:56.074816,3.408
2022-03-09 01:19:57.077585,3.4090000000000003
2022-03-09 01:19:58.080468,3.408
2022-03-09 01:19:59.083158,3.408
2022-03-09 01:20:00.085994,3.408
2022-03-09 01:20:01.088881,3.408
2022-03-09 01:20:02.091609,3.408
2022-03-09 01:20:03.094436,3.408
2022-03-09 01:20:04.097140,3.408
2022-03-09 01:20:05.099450,3.408
2022-03-09 01:20:06.101683,3.4090000000000003
2022-03-09 01:20:07.104494,3.4090000000000003
2022-03-09 01:20:08.107624,3.408
2022-03-09 01:20:09.110761,3.4090000000000003
2022-03-09 01:20:10.113926,3.4090000000000003
2022-03-09 01:20:11.116880,3.408
2022-03-09 01:20:12.119710,3.408
2022-03-09 01:20:13.122776,3.4090000000000003
2022-03-09 01:20:14.125699,3.408
2022-03-09 01:20:15.128721,3.4090000000000003
2022-03-09 01:20:16.131409,3.4090000000000003
2022-03-09 01:20:17.133823,3.4090000000000003
2022-03-09 01:20:18.135976,3.4090000000000003
2022-03-09 01:20:19.138140,3.4090000000000003
2022-03-09 01:20:20.140303,3.4090000000000003
2022-03-09 01:20:21.142641,3.4090000000000003
2022-03-09 01:20:22.145418,3.4090000000000003
2022-03-09 01:20:23.148233,3.4090000000000003
2022-03-09 01:20:24.151048,3.4090000000000003
2022-03-09 01:20:25.153908,3.4090000000000003
2022-03-09 01:20:26.156271,3.408
2022-03-09 01:20:27.158932,3.4090000000000003
2022-03-09 01:20:28.161696,3.4090000000000003
2022-03-09 01:20:29.164569,3.4090000000000003
2022-03-09 01:20:30.167824,3.4090000000000003
2022-03-09 01:20:31.170218,3.4090000000000003
2022-03-09 01:20:32.172380,3.4090000000000003
2022-03-09 01:20:33.174997,3.4090000000000003
2022-03-09 01:20:34.177825,3.4090000000000003
2022-03-09 01:20:35.180691,3.4090000000000003
2022-03-09 01:20:36.183477,3.4090000000000003
2022-03-09 01:20:37.186189,3.4090000000000003
2022-03-09 01:20:38.189071,3.4090000000000003
2022-03-09 01:20:39.191851,3.4090000000000003
2022-03-09 01:20:40.194419,3.4090000000000003
2022-03-09 01:20:41.196714,3.4090000000000003
2022-03-09 01:20:42.199616,3.4090000000000003
2022-03-09 01:20:43.202348,3.4090000000000003
2022-03-09 01:20:44.204574,3.4090000000000003
2022-03-09 01:20:45.207137,3.4090000000000003
2022-03-09 01:20:46.210116,3.4090000000000003
2022-03-09 01:20:47.212946,3.4090000000000003
2022-03-09 01:20:48.215671,3.4090000000000003
2022-03-09 01:20:49.218454,3.4090000000000003
2022-03-09 01:20:50.221413,3.4090000000000003
2022-03-09 01:20:51.224374,3.4090000000000003
2022-03-09 01:20:52.227167,3.4090000000000003
2022-03-09 01:20:53.230053,3.4090000000000003
2022-03-09 01:20:54.232725,3.4090000000000003
2022-03-09 01:20:55.235412,3.4090000000000003
2022-03-09 01:20:56.237943,3.4090000000000003
2022-03-09 01:20:57.240017,3.4090000000000003
2022-03-09 01:20:58.242386,3.4090000000000003
2022-03-09 01:20:59.245087,3.4090000000000003
2022-03-09 01:21:00.247839,3.4090000000000003
2022-03-09 01:21:01.250687,3.4090000000000003
2022-03-09 01:21:02.253327,3.4090000000000003
2022-03-09 01:21:03.256014,3.4090000000000003
2022-03-09 01:21:04.258746,3.4090000000000003
2022-03-09 01:21:05.261672,3.4090000000000003
2022-03-09 01:21:06.264382,3.4090000000000003
2022-03-09 01:21:07.267089,3.4090000000000003
2022-03-09 01:21:08.269667,3.4090000000000003
2022-03-09 01:21:09.271901,3.4090000000000003
2022-03-09 01:21:10.274180,3.4090000000000003
2022-03-09 01:21:11.276718,3.4090000000000003
2022-03-09 01:21:12.279477,3.4090000000000003
2022-03-09 01:21:13.282123,3.4090000000000003
2022-03-09 01:21:14.284868,3.4090000000000003
2022-03-09 01:21:15.287211,3.4090000000000003
2022-03-09 01:21:16.289476,3.4090000000000003
2022-03-09 01:21:17.292208,3.4090000000000003
2022-03-09 01:21:18.294914,3.4090000000000003
2022-03-09 01:21:19.297652,3.4090000000000003
2022-03-09 01:21:20.300431,3.4090000000000003
2022-03-09 01:21:21.303086,3.4090000000000003
2022-03-09 01:21:22.305196,3.4090000000000003
2022-03-09 01:21:23.307414,3.4090000000000003
2022-03-09 01:21:24.310002,3.4090000000000003
2022-03-09 01:21:25.312693,3.4090000000000003
2022-03-09 01:21:26.315429,3.4090000000000003
2022-03-09 01:21:27.318049,3.4090000000000003
2022-03-09 01:21:28.320763,3.4090000000000003
2022-03-09 01:21:29.323420,3.4090000000000003
2022-03-09 01:21:30.326122,3.4090000000000003
2022-03-09 01:21:31.328885,3.4090000000000003
2022-03-09 01:21:32.331661,3.4090000000000003
2022-03-09 01:21:33.334488,3.4090000000000003
2022-03-09 01:21:34.336815,3.4090000000000003
2022-03-09 01:21:35.339098,3.4090000000000003
2022-03-09 01:21:36.341629,3.4090000000000003
2022-03-09 01:21:37.344508,3.4090000000000003
2022-03-09 01:21:38.347619,3.4090000000000003
2022-03-09 01:21:39.351431,3.4090000000000003
2022-03-09 01:21:40.353651,3.4090000000000003
2022-03-09 01:21:41.357218,3.4090000000000003
2022-03-09 01:21:42.359987,3.4090000000000003
2022-03-09 01:21:43.362853,3.4090000000000003
2022-03-09 01:21:44.365590,3.4090000000000003
2022-03-09 01:21:45.368087,3.4090000000000003
2022-03-09 01:21:46.370520,3.4090000000000003
2022-03-09 01:21:47.372810,3.4090000000000003
2022-03-09 01:21:48.375229,3.41
2022-03-09 01:21:49.378060,3.41
2022-03-09 01:21:50.380605,3.41
2022-03-09 01:21:51.382981,3.41
2022-03-09 01:21:52.385706,3.41
2022-03-09 01:21:53.388523,3.4090000000000003
2022-03-09 01:21:54.391172,3.4090000000000003
2022-03-09 01:21:55.394047,3.4090000000000003
2022-03-09 01:21:56.396853,3.41
2022-03-09 01:21:57.399581,3.41
2022-03-09 01:21:58.402393,3.41
2022-03-09 01:21:59.405155,3.4090000000000003
2022-03-09 01:22:00.407210,3.41
2022-03-09 01:22:01.409315,3.41
2022-03-09 01:22:02.411728,3.4090000000000003
2022-03-09 01:22:03.414791,3.4090000000000003
2022-03-09 01:22:04.417513,3.4090000000000003
2022-03-09 01:22:05.420330,3.4090000000000003
2022-03-09 01:22:06.423136,3.41
2022-03-09 01:22:07.425868,3.4090000000000003
