time,rec-q-can.CVL.V,rec-q-can.CCL.A,rec-q-can.DVL.V,rec-q-can.DCL.A,rec-q-can.SOC.%,rec-q-can.SOH.%,rec-q-can.SOC_HR.%,rec-q-can.Battery Voltage.V,rec-q-can.Battery Current.A,rec-q-can.Battery Temp.C,rec-q-can.Min Cell Voltage.V,rec-q-can.Max Cell Voltage.V,rec-q-can.Min Temperature.C,rec-q-can.Max Temperature.C,rec-q-can.Rated Capacity.AH,rec-q-can.Remaining Capacity.AH,rec-q-can.Warning Bits.binary,rec-q-can.Alarm Bits.binary,ws-can.CVT.V,ws-can.CCT.A,ws-can.CV.V,ws-can.Alternator Temperature.C,ws-can.Alternator Speed.RPM,ws-can.Engine Speed.RPM,ws-can.Field Drive.%
2023-03-06 14:04:56.245016,27.6,279.9,23.1,279.9,92,100,0.0,26.68,40.8,27.0,3.329,3.341,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:57.247866,27.6,279.9,23.1,279.9,92,100,0.0,26.69,40.4,27.0,3.329,3.341,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:58.250787,27.6,279.9,23.1,279.9,92,100,0.0,26.68,40.8,27.0,3.329,3.342,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:59.253668,27.6,279.9,23.1,279.9,92,100,0.0,26.68,40.8,27.0,3.329,3.342,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:00.256430,27.6,279.9,23.1,279.9,92,100,0.0,26.68,40.8,27.0,3.329,3.342,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:01.259394,27.6,279.9,23.1,279.9,92,100,0.0,26.69,40.9,27.0,3.33,3.342,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:02.262201,27.6,279.9,23.1,279.9,92,100,0.0,26.69,40.8,27.0,3.33,3.342,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:03.264907,27.6,279.9,23.1,279.9,92,100,0.0,26.69,40.9,27.0,3.33,3.342,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:04.267967,27.6,279.9,23.1,279.9,92,100,0.0,26.69,40.7,27.0,3.33,3.342,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:05.274699,27.6,279.9,23.1,279.9,92,100,0.0,26.69,40.7,27.0,3.33,3.345,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:06.277542,27.6,279.9,23.1,279.9,92,100,0.0,26.7,40.9,27.0,3.33,3.345,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:07.280483,27.6,279.9,23.1,279.9,92,100,0.0,26.69,40.9,27.0,3.33,3.345,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:08.283726,27.6,279.9,23.1,279.9,92,100,0.0,26.69,40.9,27.0,3.33,3.347,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:05:09.286701,27.6,279.9,23.1,279.9,92,100,0.0,26.71,40.8,27.0,3.33,3.347,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
